ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27408751;Об инвентаризации адресных сведений в Государственном адресном реестре;2025-09-29;147-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СВЕТЛЫЙ СЕЛЬСОВЕТ САКМАРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27408882;Об аннулировании адреса объектов адресации.;2025-09-26;79-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДУБЕНСКИЙ ПОССОВЕТ БЕЛЯЕВСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27408903;Об инвентаризации адресных сведений в Государственном адресном реестре;2025-09-29;147-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СВЕТЛЫЙ СЕЛЬСОВЕТ САКМАРСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27409489;О присвоении адреса объекту адресации;2025-09-29;307-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БЛАГОСЛОВЕНСКИЙ СЕЛЬСОВЕТ ОРЕНБУРГСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27409531;О присвоении адреса объекту адресации: Российская Федерация, Оренбургская область, городской округ город Оренбург, город Оренбург, улица Ленинградская, здание № 90 строение 1;2025-09-18;4464-р;15;2;2025-09-29;Департамент градостроительства и земельных отношений администрации г. Оренбурга;2025-09-29
27410343;О присвоении адреса жилому дому;2025-09-29;295-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЮЖНОУРАЛЬСКИЙ СЕЛЬСОВЕТ ОРЕНБУРГСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27410387;Об инвентаризации ФИАС;2025-09-25;04/06/74;24;2;2025-09-29;УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА, АРХИТЕКТУРЫ И КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ АБДУЛИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27410534;О присвоении адреса объектам адресации – жилому дому и земельному участку: Российская Федерация, Оренбургская область, городской округ город Оренбург, город Оренбург, территория СНТСН «Мичуринец», улица 7-я Линия, 126;2025-09-29;4622-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27410868;О присвоении адреса земельному участку;2025-03-21;634-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ СОЛЬ-ИЛЕЦКОГО МУНИЦИПАЛЬНОГО ОКРУГА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27410904;О присвоении адреса;2025-09-29;109-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АДАМОВСКИЙ ПОССОВЕТ АДАМОВСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27411907;Об аннулировании адреса объекта адресации;2025-09-26;51-п;21;2;2025-09-29;Администрация муниципального образования Советский сельсовет Первомайского района Оренбургской области;2025-09-29
27412050;О присвоении адреса;2025-09-26;404-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ПОДГОРОДНЕ-ПОКРОВСКИЙ СЕЛЬСОВЕТ ОРЕНБУРГСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27412139;О присвоении адреса;2025-09-29;84-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ РАССЫПНЯНСКИЙ СЕЛЬСОВЕТ ИЛЕКСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
