ID;LEVEL;NAME;SHORTNAME;DESC;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE
391;16;Проезд;проезд;Проезд;1900-01-01;1900-01-01;2079-06-06;true
393;16;Просека;просека;Просека;1900-01-01;1900-01-01;2079-06-06;true
390;16;Проспект;пр-кт;Проспект;1900-01-01;1900-01-01;2079-06-06;true
396;16;Разъезд;рзд;Разъезд;1900-01-01;1900-01-01;2079-06-06;true
399;16;Сад;сад;Сад;1900-01-01;1900-01-01;2079-06-06;true
398;16;Село;с;Село;1900-01-01;1900-01-01;2079-06-06;true
401;16;Слобода;сл;Слобода;1900-01-01;1900-01-01;2079-06-06;true
404;16;Станция;ст;Станция;1900-01-01;1900-01-01;2079-06-06;true
406;16;Территория;тер;Территория;1900-01-01;1900-01-01;2079-06-06;true
408;16;Тупик;туп;Тупик;1900-01-01;1900-01-01;2079-06-06;true
410;16;Участок;уч-к;Участок;1900-01-01;1900-01-01;2015-12-31;true
412;16;Хутор;х;Хутор;1900-01-01;1900-01-01;2079-06-06;true
227;17;Машино-место;м/м;Машино-место;2019-02-14;2019-02-14;2079-06-06;true
